user_id,lon,lat,height,P_RX_35,P_RX_28
0,242.423,496.971,2.0,-68.63913491060373,-104.0190810538556
1,242.623,496.971,2.0,-68.10373751595529,-102.46976801722839
2,242.82299999999998,496.971,2.0,-68.5997980973213,-103.74995484568204
3,243.023,496.971,2.0,-70.52790696730968,-106.47017385295543
4,243.22299999999998,496.971,2.0,-71.83350718816168,-102.23599041530663
5,243.423,496.971,2.0,-71.69697332277792,-102.02624834677655
6,243.623,496.971,2.0,-73.73623664376174,-102.6211224216273
7,243.82299999999998,496.971,2.0,-75.96858699395413,-133.84459580837387
8,244.023,496.971,2.0,-77.82886235762749,-124.60328849049216
9,244.22299999999998,496.971,2.0,-77.9780392444415,-98.83573062021998
10,244.423,496.971,2.0,-78.21812508243012,-123.15782787118818
11,244.623,496.971,2.0,-80.34710866479591,-104.9986450462458
12,244.82299999999998,496.971,2.0,-85.88851710420515,-112.5360527088805
13,245.023,496.971,2.0,-94.19000179873092,-139.06673303961665
14,245.22299999999998,496.971,2.0,-87.65444172135865,-100.27381244155201
15,245.423,496.971,2.0,-86.58007339584265,-103.53887521670666
16,245.623,496.971,2.0,-90.51015005888286,-113.33522114482982
17,245.82299999999998,496.971,2.0,-89.20558994074253,-128.6819483118914
18,246.023,496.971,2.0,-82.68263454605206,-134.17673273678918
19,246.22299999999998,496.971,2.0,-79.7051645654801,-150.63740571512128
20,246.423,496.971,2.0,-79.17410114356647,-131.52223032536094
21,246.623,496.971,2.0,-80.97527691331804,-126.70383465980927
22,246.82299999999998,496.971,2.0,-86.52750309969102,-111.5569072073069
23,247.023,496.971,2.0,-94.61726685014341,-125.02068319563466
24,247.22299999999998,496.971,2.0,-83.6074514079924,-105.20701941935108
25,247.423,496.971,2.0,-79.54245623732342,-135.09302076326074
26,247.623,496.971,2.0,-78.14262757411082,-114.7905040358969
27,247.82299999999998,496.971,2.0,-78.5256890802005,-127.23934553827578
28,248.023,496.971,2.0,-80.69873697567112,-112.59188745312058
29,248.22299999999998,496.971,2.0,-85.5987571430816,-108.80377493818733
